,PTAFR,PYGL,APOBEC3G,LY6E,SIRPA,ITGB3,IGF1R,DGAT2,IL1RAP,MYADM,TMCO3,MPZL1,RFLNB,IFI44L,PPBP,MASTL,PGAP1,CUL1,GNAQ,IMPA2,TAGLN2,PI4K2B,KLHL2,SIGLEC10,BCL6,GIMAP6,SORL1,F13A1,TBC1D14,NLRP12,GALM,INPP5A,ISG15,NIBAN1,OAS2,ALOX5,RTN3,PRKAR2B,MANSC1,CR1,GTF2IP4,CD38,MAML3,CMTR1,APOL3,TSPAN2,H2BC6,H3C12,H3C3
KD11,1.5869592036478,1.27794251429091,0.702601010269798,1.36680290378389,1.46799902210323,1.27794251429091,0.419855034734691,1.32106889218756,-0.130133398569945,0.340132742244863,0.775692571607601,0.111459236780377,0.936175732862713,0.965306307416315,1.05808321122835,-0.262518436863056,-0.460707109129198,0.936175732862713,0.544869105017392,0.655902224899342,1.32106889218756,-0.281756182903854,0.702601010269798,1.27794251429091,0.320554705406007,0.481420806478481,0.0556431434337697,1.32106889218756,0.702601010269798,0.936175732862713,0.775692571607601,-0.655902224899342,1.02617562273843,0.750885065676913,1.12536380109078,1.5247831797738,1.36680290378389,0.399692984909359,0.588404314689586,1.02617562273843,1.09110608451375,0.460707109129198,1.1981662538066,1.2370702640233,0.186456254888093,0.775692571607601,0.853185178713923,0.679066488577918,0.702601010269798
KD12,1.32106889218756,0.566502484811623,-1.1981662538066,-0.679066488577918,1.05808321122835,1.82402707629013,0.750885065676913,0.965306307416315,0.379692131673331,1.65595672521267,0.523487786558563,0.359842039030204,0.262518436863056,-0.502343166052932,1.5869592036478,-0.702601010269798,-0.800986908091313,-1.32106889218756,0.419855034734691,0.205353844036783,1.1981662538066,-0.750885065676913,0.633084691616942,0.965306307416315,0.965306307416315,-1.32106889218756,0.880173514115766,1.1981662538066,0.224325061339276,0.566502484811623,-1.2370702640233,-0.0556431434337697,-0.750885065676913,0.82680442225178,-1.16099581346862,0.800986908091313,0.440189235055269,1.65595672521267,0.775692571607601,1.1981662538066,0.633084691616942,-0.907818698946458,0.81382785708097,-0.907818698946458,-1.2370702640233,0.853185178713923,-0.750885065676913,-0.419855034734691,-0.379692131673331
KD13,-0.419855034734691,-0.301098782692763,0.588404314689586,0.440189235055269,-0.588404314689586,0.82680442225178,-0.588404314689586,-0.82680442225178,0.340132742244863,-0.130133398569945,-0.359842039030204,-0.460707109129198,0.0185392097479662,0.205353844036783,0.702601010269798,-0.379692131673331,-0.243377367361724,0.167625024937948,-0.130133398569945,-0.633084691616942,0.481420806478481,0.588404314689586,-0.243377367361724,-0.440189235055269,-0.588404314689586,0.702601010269798,-0.633084691616942,0.907818698946458,-0.460707109129198,-0.502343166052932,-0.0928238661856154,-0.0835186591701341,0.148853055598008,-0.566502484811623,0.0370847942039154,-0.460707109129198,-0.419855034734691,1.5869592036478,-0.523487786558563,-0.460707109129198,-0.111459236780377,0.340132742244863,-0.186456254888093,-0.186456254888093,0.440189235055269,0.0,0.481420806478481,0.0742206783153635,0.481420806478481
KD14,-0.965306307416315,-0.936175732862713,0.995279980678382,0.379692131673331,-0.481420806478481,0.419855034734691,-0.186456254888093,-0.750885065676913,-0.775692571607601,0.702601010269798,-0.0185392097479664,-0.359842039030204,0.880173514115766,-0.0185392097479664,-0.379692131673331,0.544869105017392,0.502343166052932,0.679066488577918,-0.800986908091313,-0.655902224899342,-0.340132742244863,0.880173514115766,-0.566502484811623,-0.0370847942039152,-0.440189235055269,1.12536380109078,-0.82680442225178,-0.610592120483021,-0.523487786558563,-0.965306307416315,0.702601010269798,-0.544869105017391,0.0556431434337697,-0.880173514115766,0.399692984909359,-0.775692571607601,-0.481420806478481,-0.544869105017391,-0.301098782692763,-0.610592120483021,-0.750885065676913,1.46799902210323,-0.440189235055269,0.460707109129198,0.82680442225178,-0.130133398569945,1.02617562273843,0.880173514115766,0.907818698946458
KD15,-1.46799902210323,-1.36680290378389,-2.61270914451659,-2.26076080100437,-1.27794251429091,-1.36680290378389,-1.2370702640233,-1.36680290378389,-1.36680290378389,-1.82402707629013,-1.7338805428708,-1.41558928449071,-1.82402707629013,-2.06879449665735,-1.93202291986177,-2.61270914451659,-2.61270914451659,-2.06879449665735,-1.65595672521268,-1.7338805428708,-1.7338805428708,-2.61270914451659,-1.65595672521268,-1.93202291986177,-1.41558928449071,-2.26076080100437,-1.41558928449071,-1.36680290378389,-1.65595672521268,-1.5247831797738,-2.06879449665735,-1.82402707629013,-2.61270914451659,-1.36680290378389,-1.93202291986177,-1.46799902210323,-1.46799902210323,-1.7338805428708,-1.82402707629013,-1.36680290378389,-1.65595672521268,-2.61270914451659,-1.65595672521268,-2.61270914451659,-2.61270914451659,-1.82402707629013,-2.61270914451659,-2.61270914451659,-2.61270914451659
KD16,0.502343166052932,-0.0556431434337697,0.186456254888093,-0.205353844036783,-0.111459236780377,0.0370847942039154,0.0556431434337697,-0.167625024937948,0.281756182903854,1.36680290378389,-0.167625024937948,0.936175732862713,0.544869105017392,-0.544869105017391,0.0928238661856156,-1.1981662538066,0.0742206783153635,0.130133398569945,0.111459236780377,0.243377367361724,0.340132742244863,0.0,0.0928238661856156,0.379692131673331,-0.0185392097479664,0.440189235055269,0.205353844036783,0.610592120483021,0.262518436863056,0.502343166052932,-0.523487786558563,1.36680290378389,-0.399692984909359,-0.0185392097479664,-0.224325061339276,-0.167625024937948,-0.148853055598008,0.167625024937948,0.481420806478481,-0.205353844036783,0.379692131673331,-0.800986908091313,0.243377367361724,-0.359842039030204,0.0556431434337697,-0.243377367361724,-0.359842039030204,-0.775692571607601,-0.893910707520284
KD17,-0.379692131673331,-0.633084691616942,0.440189235055269,0.633084691616942,-0.995279980678382,0.440189235055269,-0.936175732862713,-0.775692571607601,-0.148853055598008,0.523487786558563,-0.702601010269798,-0.588404314689586,0.359842039030204,0.655902224899342,-0.167625024937948,-0.775692571607601,0.340132742244863,0.523487786558563,-0.610592120483021,-1.16099581346862,-0.0742206783153635,0.205353844036783,-0.502343166052932,0.340132742244863,-1.12536380109078,0.853185178713923,-0.702601010269798,0.502343166052932,-0.880173514115766,-1.09110608451375,0.0928238661856156,-0.502343166052932,0.633084691616942,-0.702601010269798,0.679066488577918,-0.936175732862713,-0.936175732862713,0.224325061339276,-0.800986908091313,-1.05808321122835,-0.320554705406007,0.0928238661856156,-0.588404314689586,0.440189235055269,0.281756182903854,0.544869105017392,0.502343166052932,0.224325061339276,0.409753188345637
KD18,0.82680442225178,0.702601010269798,-0.440189235055269,-0.419855034734691,0.907818698946458,0.800986908091313,1.46799902210323,1.05808321122835,0.610592120483021,2.06879449665735,0.460707109129198,1.2370702640233,1.93202291986177,-1.2370702640233,-0.130133398569945,-0.148853055598008,-0.130133398569945,-0.0185392097479664,0.82680442225178,0.750885065676913,1.93202291986177,-0.544869105017391,0.186456254888093,0.750885065676913,0.379692131673331,-0.148853055598008,1.05808321122835,0.995279980678382,1.02617562273843,0.800986908091313,-0.301098782692763,1.2370702640233,-0.610592120483021,0.800986908091313,-0.243377367361724,0.775692571607601,1.27794251429091,0.440189235055269,0.965306307416315,-0.0185392097479664,1.7338805428708,0.205353844036783,1.41558928449071,-0.460707109129198,-0.440189235055269,1.5247831797738,-0.907818698946458,-0.965306307416315,-0.995279980678382
KD19,-0.544869105017391,0.82680442225178,-1.41558928449071,-1.93202291986177,0.750885065676913,0.460707109129198,0.633084691616942,1.1981662538066,0.82680442225178,-0.610592120483021,0.72653129314085,1.36680290378389,-0.82680442225178,-0.679066488577918,-0.0928238661856154,-0.995279980678382,-0.633084691616942,-1.46799902210323,0.224325061339276,-0.0185392097479664,-0.880173514115766,-1.36680290378389,1.41558928449071,-0.0928238661856154,0.936175732862713,-1.41558928449071,0.965306307416315,-0.0742206783153635,0.853185178713923,-0.0185392097479664,-0.880173514115766,-0.936175732862713,-1.12536380109078,1.1981662538066,-1.7338805428708,-0.281756182903854,0.633084691616942,0.750885065676913,0.0185392097479662,1.16099581346862,-0.340132742244863,-1.41558928449071,0.81382785708097,-1.16099581346862,-1.32106889218756,-0.0742206783153635,-1.2370702640233,-0.72653129314085,-0.775692571607601
KD20,-0.340132742244863,-0.440189235055269,-0.359842039030204,-0.320554705406007,-0.775692571607601,-0.460707109129198,-0.340132742244863,-0.702601010269798,-0.379692131673331,0.0,-0.679066488577918,0.0928238661856156,0.130133398569945,-0.359842039030204,-0.205353844036783,-0.186456254888093,0.853185178713923,0.379692131673331,-0.186456254888093,-0.205353844036783,0.379692131673331,-0.111459236780377,-0.419855034734691,0.0370847942039154,-0.544869105017391,0.800986908091313,-0.502343166052932,0.523487786558563,-0.679066488577918,-0.544869105017391,-0.111459236780377,-0.205353844036783,-0.186456254888093,-0.460707109129198,-0.0185392097479664,-0.907818698946458,-0.502343166052932,-0.111459236780377,-0.502343166052932,-0.359842039030204,0.0742206783153635,0.301098782692763,-0.460707109129198,-0.440189235055269,0.419855034734691,-0.167625024937948,0.0556431434337697,0.0928238661856156,0.0092692066344762
